"Run","Best_Fitness_Internal","Valid_MAE","MSE_cv","VIF_Penalty","Corr_Penalty","Complexity_Penalty","Best_K","N_Features","Is_Best_By_Internal_Fitness","Is_Best_By_Validation"
1,0.00208204265042924,0.0159867176314634,0.00041682394949089,0,0,0.00166666666666667,1.67066744699622,1,FALSE,FALSE
2,0.00223176971573688,0.014952502935797,0.000570179710414852,0,0,0.00166666666666667,2.98444251000694,1,FALSE,FALSE
3,0.0035613741463296,0.00986950639696352,0.00023032504133627,0,0,0.00333333333333333,1.99352465142278,2,FALSE,TRUE
4,0.00212730654934727,0.0127327474119759,0.00046508353757649,0,0,0.00166666666666667,2.6238900343455,1,FALSE,FALSE
5,0.00310924509104758,0.0242610028228991,0.00145648780073262,0,0,0.00166666666666667,1.6773490748137,1,FALSE,FALSE
6,0.00190530981423633,0.00993206662054833,0.000241198990272014,0,0,0.00166666666666667,1.45910221908451,1,FALSE,FALSE
7,0.00223452611168015,0.0149422923528525,0.000570005220129363,0,0,0.00166666666666667,1.42623348337191,1,FALSE,FALSE
8,0.00190477663623775,0.0100585483206507,0.00024037363816926,0,0,0.00166666666666667,1.92115147581913,1,FALSE,FALSE
9,0.00208152132867636,0.0160422086822073,0.000417886871714691,0,0,0.00166666666666667,2.30729804351615,1,FALSE,FALSE
10,0.00456387427330223,0.0244484869893508,0.00123842836114707,0,0,0.00333333333333333,1.74036964639922,2,FALSE,FALSE
11,0.00208238505097084,0.0160348069325273,0.000417907448394896,0,0,0.00166666666666667,2.06325840566152,1,FALSE,FALSE
12,0.00208164315559137,0.0157904359144006,0.000415886295606158,0,0,0.00166666666666667,1.02116987550861,1,FALSE,FALSE
13,0.00436957193088498,0.0211944029294418,0.0010419227668526,0,0,0.00333333333333333,2.08855714272165,2,FALSE,FALSE
14,0.00437464183452189,0.0209878442641696,0.00104957012089863,0,0,0.00333333333333333,1.68833715046843,2,FALSE,FALSE
15,0.00212687451320165,0.0127103877263155,0.000465203005666648,0,0,0.00166666666666667,1.17701364821167,1,FALSE,FALSE
16,0.00190681145248224,0.00989266101659095,0.000241492841332715,0,0,0.00166666666666667,1.32160285348218,1,FALSE,FALSE
17,0.00208176367666882,0.0160307635913522,0.000417248399654778,0,0,0.00166666666666667,2.00095177056484,1,FALSE,FALSE
18,0.00190297433896463,0.0102732416262646,0.000238633386612245,0,0,0.00166666666666667,2.68376192909576,1,TRUE,FALSE
19,0.00208212354153006,0.0160175322444841,0.000417272058209389,0,0,0.00166666666666667,1.86183753329178,1,FALSE,FALSE
20,0.00438265366971886,0.0208063487774259,0.00105572387487822,0,0,0.00333333333333333,1.30668657228945,2,FALSE,FALSE
