"Varied_Parameter","Value","N_Replicates","Mean_Valid_MAE","SD_Valid_MAE"
"lambda3",0.1,10,0.015437410562314,0.00583622022468267
"lambda3",0.25,10,0.0183909508726326,0.00443535997995177
"lambda3",0.5,10,0.0207696748925932,0.0128960288771266
"lambda3",1,10,0.0155461038036155,0.00658532244293648
"max_iter",30,10,0.0214476000447433,0.0100880566638151
"max_iter",45,10,0.0202585664894555,0.00837190212107423
"max_iter",60,10,0.0152557618876825,0.00575575672426858
"max_iter",100,10,0.0181771912817115,0.00974007054936068
"max_iter",150,10,0.0153863372069674,0.00660200873038548
"max_iter",200,10,0.0130037083583935,0.00424756370135462
